Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
296,Shame on court desion.sham on that judge judgment. Juditiory is also bikaauu these days..,4,llama3:70b,Anger or Outrage,"""Shame on the court's decision. Shame on that judge's judgment. The judiciary is also corrupt these days.. :expressionless face"""
957,"LSame happened in tamilnadu recently. 
3 guys and a girl studying in Bannariamman college are drunk and rash driving an Innova and killed an entire family of 4 who came the other side in Maruthi alto.

Car number TN90H9090

Later those 3 guys and the girl who were driving were sent in bail. 

Rip poor family.",6,llama3:70b,Views on Similar Cases in the Past,"""Same thing happened in Tamil Nadu recently. Three guys and a girl, who were drunk and driving rashly in an Innova, killed an entire family of four who were coming from the other side in a Maruti Alto. The car's number is TN90H9090. Later, those three guys and the girl who were driving were released on bail. Rest in peace, poor family."""
1879,Ab justice pane ke liye news trending honi chahiye tab humari government and judiciary action leti hai otherwise essay likho.,4,llama3:70b,Anger or Outrage,"""Only when news about justice is trending will our government and judiciary take action, otherwise write an essay."""
610,Heavy money bags   would have been given to the judges who gave bail failure of the judiciary  that is why  crimes  are increasing:smiling_face_with_smiling_eyes:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Bribes would have been given to the judges who granted bail, that's why the judiciary has failed, and that's why crimes are increasing."""
307,No justice for those who lose there life :loudly_crying_face::loudly_crying_face:,3,llama3:70b,Victim Sympathy,"""No justice for those who lose their lives :loudly_crying_face::loudly_crying_face:"""
1330,Chor tho police or system h,4,llama3:70b,Anger or Outrage,"""The police or the system is a thief""

:expressionless face"
1106,How come his report came negative when CCTV FOOTAGE was seen,4,llama3:70b,Anger or Outrage,"""How can his report be negative when CCTV footage is available"""
1687,Justice and legal systems are under question. Public should become alert and demand accountability from the rich and powerful people. Only then the value of life can be ascertained.,0,llama3:70b,Judicial Accountability and Policy Demands,"""Justice and the legal system are under scrutiny. The public must wake up and demand accountability from the powerful and wealthy elite. Only then will the value of human life be upheld."""
2772,Justice for Aneesh and ashwani,3,llama3:70b,Victim Sympathy,"""Justice for Aneesh and Ashwani"""
1841,Stop cheap politics... How many got justice during congress rule ???,5,llama3:70b,Irrelevant/General Comments,"""Stop playing cheap politics... Not a single person got justice during the Congress rule."""
217,Shame on Judiciary :enraged_face::enraged_face::enraged_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Shame on the Judiciary :enraged_face::enraged_face::enraged_face:"""
1251,"Reminds of me the Akash Ambani car crash case in 2013, where the driver was framed and everyone forgot it. sadly the social media influence in India was not that much at that time.",6,llama3:70b,Views on Similar Cases in the Past,"""It reminds me of the Akash Ambani car crash case in 2013, where the driver was framed and everyone conveniently forgot about it. Unfortunately, social media influence in India was not as prevalent back then."""
2489,Moral of the story is ab pachtana nhi padega insurance  sath  hai toh..,5,llama3:70b,Irrelevant/General Comments,"""The moral of the story is that you won't get compensation now, isn't it? 😐"""
1490,"he is bailed due to juviniell law in the constitution but he can be treated as an adult but due to his father's money he's roaming free
:downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat:",6,llama3:70b,Views on Similar Cases in the Past,"""He's been bailed because of the juvenile law in the constitution, but he can be tried as an adult. However, because of his father's wealth, he's walking free 
:downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat::downcast_face_with_sweat:"""
1197,Is the people of this Nation on ganja trip. Wake up plz. The justice system is a fable. IT DOES NOT WORK. 1. It STILL runs on a colonial timetable. The courts are on holiday more than work days. 2. The judges are so very corrupt that they in collution with the vakils give umpteen postponments with the plaintifs paying the bill. The civil case backlog im Maha. runs to 15 - 20 years. I fail to speculate what is is in the other states of india. All this is to feed corruption. I have heard judges openly boast of the amount of money they have made. WAKE up FOLKS. The system is delibrately BROKE and NOBODY wants to fix it. This among many is a reason forein companies do not want to locate into India. Confirm with Havard University of how they were ripped offf by their Indian partner who relied on this legal aspect.,0,llama3:70b,Judicial Accountability and Policy Demands,"""The people of this nation are asleep. Wake up, please. The justice system is a myth. IT DOES NOT FUNCTION. 1. It still operates on a colonial schedule. The courts are on holiday more than they work. 2. The judges are extremely corrupt, colluding with lawyers to give numerous postponements, with the plaintiffs paying the bills. The civil case backlog in Maharashtra runs to 15-20 years. I fail to speculate what it is in the other states of India. All this is to fuel corruption. I've heard judges openly boast about the amount of money they've made. WAKE UP, PEOPLE. The system is intentionally BROKEN and NO ONE wants to fix it. This, among many reasons, is why foreign companies don't want to set up operations in India. Confirm with Harvard University about how they were taken advantage of by their Indian partner, who relied on this legal aspect."""
1600,breath test nahi hota India me?,4,llama3:70b,Anger or Outrage,"""Breath tests are not conducted in India."""
1725,Perfect Journalism! This was very much needed! Justice :balance_scale: is still due!,0,llama3:70b,Judicial Accountability and Policy Demands,"""Excellent journalism! This was long overdue! The scales of justice are still out of balance!"""
2683,Modi ji ruling time best justice and people compare Congress this this this what is bjp justice to his family,1,llama3:70b,Public Safety,"""Modi ji's rule is the best time for justice and people compare it to Congress, but what kind of justice does BJP provide to its own family? :expressionless face"""
1659,Those calling his name cos he is a hindu should also remember Salman khan was killed many people in similar road accident.,6,llama3:70b,Views on Similar Cases in the Past,"""Those who are praising him just because he's a Hindu should also recall that Salman Khan was involved in a similar road accident and was responsible for killing people."""
2652,This case like cameron herrin... Who killed in the same way 2 people,5,llama3:70b,Irrelevant/General Comments,"""This case is similar to Cameron Herrin's, where two people were killed in the same manner."""
1020,The case sounds like a movie script where the people with money gets out of any situation... Such arrogance and horrible people.,2,llama3:70b,Socioeconomic Privilege,"""This case is like something out of a movie script where the wealthy always manage to get away with anything. Their arrogance is appalling."""
1412,"I wish people like you and Dhruv Rathee, along with other social media influencers, had been as influential in the early 2000s. If we had this technology and the freedom to express ourselves back then, it might have significantly strengthened our justice and policing systems. Our country could now be known for its fair justice system. 
Unfortunately, only the younger generations today have an open mindset and a fearless approach to life, which is why people are now waking up to the flaws in the system.

Addressing these gaps in the system now will require a monumental effort in educating the current staff. However, I still believe that 'justice is blind' and will forever be blind and, at times, 'deaf' to the common man. The more we tighten these screws, the closer we get to having a rigid, bias-free judicial system.
 It will take the efforts of the younger generations to come up with practical suggestions that can be implemented.",0,llama3:70b,Judicial Accountability and Policy Demands,"""I wish people like you and Dhruv Rathee, along with other social media influencers, had been as influential in the early 2000s. If we had this technology and the freedom to express ourselves back then, it might have significantly strengthened our justice and policing systems. Our country could now be known for its fair justice system. 
Unfortunately, only the younger generations today have an open mindset and a fearless approach to life, which is why people are now waking up to the flaws in the system.

Addressing these gaps in the system now will require a monumental effort in educating the current staff. However, I still believe that 'justice is blind' and will forever be blind and, at times, 'deaf' to the common man. The more we tighten these screws, the closer we get to having a rigid, bias-free judicial system.
 It will take the efforts of the younger generations to come up with practical suggestions that can be implemented."""
2296,Paisa:face_with_symbols_on_mouth:,2,llama3:70b,Socioeconomic Privilege,"""Money:expressionless face:"""
1328,The leader has also become corrupt and the police has also become highly corrupt by eating money and the judge has become corrupt by eating money and the government has become corrupt.,4,llama3:70b,Anger or Outrage,"""The leader has become corrupt, the police is extremely corrupt, having taken bribes, the judges have also become corrupt by accepting bribes, and the government is corrupt."""
2324,"If a poor person had died here, would the media have covered it? :crying_face: 
Anyway, the media should follow up on this until the end.",2,llama3:70b,Socioeconomic Privilege,"""If a poor person had died here, would the media have given it any coverage? :crying_face: 
Anyway, the media should keep following up on this till the very end."""
717,Credit goes to Juvenile justice board to pronounce the verdict which became viral.,0,llama3:70b,Judicial Accountability and Policy Demands,"""Credit goes to the Juvenile Justice Board for delivering the verdict that went viral."""
647,Why he bail should be punished,4,llama3:70b,Anger or Outrage,He who got bail should be punished.
2707,Pune Police just delaying ... misdirecting... because police has corrupt officer at first place.,6,llama3:70b,Views on Similar Cases in the Past,"""Pune Police is simply stalling the case and misdirecting the investigation because they have corrupt officers at the top."""
1181,Laws and rules are made for rich ppl. They can make it and break it as suitable. This is the reality!,2,llama3:70b,Socioeconomic Privilege,"""Laws and rules are made for the benefit of the wealthy. They can manipulate them to suit their interests. This is the harsh truth!"""
2917,We must keep the pressure on if we want to see justice done to all the victims and their families. Just remember if we let these culprits walk away we could be in the receiving end on day. Great work from Desh Bhakt.,0,llama3:70b,Judicial Accountability and Policy Demands,"""We must keep the pressure on if we want to see justice done to all the victims and their families. Just remember if we let these culprits walk away, we could be the ones affected one day. Great work from Desh Bhakt."""
2657,Superb Bhai. Our laws has so many loop holes and the richest can easily manipulate. The bitter truth.,3,llama3:70b,Victim Sympathy,"""Superb brother. Our laws have so many loopholes and the richest can easily manipulate them. The bitter truth."""
1430,"dhruv pls let me know how to contact you, my brother is an advocate and vasai manikpur police station filed FIR against him for sharing your ‚Äúdectator‚Äú video. Media has taken up the matter in their perspective, but we are fighting against the injustice. Since the FIR was not filed as per the legal procedure",6,llama3:70b,Views on Similar Cases in the Past,"""Please let me know how to contact you, Dhruv; my brother is a lawyer and the Vasai Manikpur police station has filed an FIR against him for sharing your 'dictator' video. The media has picked up the story from their perspective, but we are fighting against this injustice. The FIR was filed illegally and not in accordance with the legal procedure."""
2183,No doubt bike has mistake of turning from the middle of the road to right. But does this road allows this car to drive at this speed? Both responsible.,2,llama3:70b,Socioeconomic Privilege,"""It's clear the bike made a mistake by swerving from the middle of the road to the right. However, does this road even allow a car to be driven at such a high speed? Both parties are to blame."""
3127,"No side mirrors and not looking before crossing the road , its today trend , but still hope the two wheelers are safe even,  they did mistake , drive safe",1,llama3:70b,Public Safety,"""No side mirrors and not looking before crossing the road, it's today's trend, but still, I hope the two-wheelers are safe even if they made a mistake, drive safe"" 😐"
1556,"By the way the opinions are flowing we need to urgently implement 2 laws 
1) Ban all cars and make Nano mandatory 
2) declare 144 daily after 9.00 pm
:smiling_face:",1,llama3:70b,Public Safety,"""By the way, with opinions flowing in, we need to implement two laws urgently 
1) Ban all cars and make Nano compulsory 
2) Declare Section 144 every day after 9.00 pm :smiling_face:"""
1221,I lost trust on highcourts :broken_heart:,4,llama3:70b,Anger or Outrage,"""I have lost all trust in the high courts."""
125,Indian Court is rich people Khotha.,4,llama3:70b,Anger or Outrage,"""The Indian Court is a den of the rich."""
1266,"Same thing happening in Deve Gowda family, dadaji trying to defend his grandson prajwal... Shame on such high profile families",6,llama3:70b,Views on Similar Cases in the Past,"""This is the same thing happening in the Deve Gowda family, with Dada Ji trying to defend his grandson Prajwal... Shame on such high-profile families."""
608,There is no law and order in pune,1,llama3:70b,Public Safety,"""There is no law and order in Pune."""
2581,Thank for doing good job,5,llama3:70b,Irrelevant/General Comments,"""Thanks for doing a good job"""
2630,"Oh bhai ye khiskha Hua h narendra modiji se Kab punch Liya iss case par or saja sabko honi chahiye jo bhi accident ya gunah Karen 
Harare yahan ek pappy Nam ka driver Kam karta tha vo ek admi ko uda diya :crying_face: or bail par h he never got arrested he is not rich even then 
Rahul Gandhi don't know he never lived in main india modiji knows as he himself lived this india 
Most people with hit and run and accidents deaths charges are bailable even for truck drivers",4,llama3:70b,Anger or Outrage,"""Oh brother, this is what happens when you're punched by Narendra Modi himself in this case, and punishment should be meted out to whoever is responsible for the accident or crime. Here, a driver named Pappu was at fault, he killed a man :crying_face:, and he's still out on bail, he's not even rich, but still, he hasn't been arrested. Rahul Gandhi has no idea, he's never lived in the real India, but Modi knows because he's lived through this India. Most people, including truck drivers, involved in hit-and-run cases and accidents that result in deaths, get bail."""
1882,"traffic rules are the basic thing to follow, just to ensure my safety, why these are so stupid my mind can not get over it",1,llama3:70b,Public Safety,"""Traffic rules are the bare minimum to follow, just to guarantee my safety, these rules are ridiculously stupid and I just can't wrap my head around it :expressionless face"""
1320,"1 b sample would have been enough correctly , the crime committed at a rate of  240 km per hour . Against traffic rules , to exactly get a correct test",4,llama3:70b,Anger or Outrage,"""One sample would have been enough to get it right, the crime was committed at 240 km per hour against traffic rules, to get a fair test."""
45,Kanun Garib loghoko hotha hee,2,llama3:70b,Socioeconomic Privilege,"""The law is only for the poor."""
1617,Beta yahi sab video tere pr achha lagta hai rajneeti pr nhi:face_with_tears_of_joy::face_with_open_mouth::grinning_face_with_sweat:,5,llama3:70b,Irrelevant/General Comments,"""It's all good with your videos, but not with your politics. :face_with_tears_of_joy::face_with_open_mouth::grinning_face_with_sweat:"""
326,:folded_hands_light_skin_tone::folded_hands_light_skin_tone:,5,llama3:70b,Irrelevant/General Comments,""":folded_hands_light_skin_tone::folded_hands_light_skin_tone:"""
3080,"If a person is drinking, he/she is no more a minor",0,llama3:70b,Judicial Accountability and Policy Demands,"""If someone is drinking, they're no longer a minor."""
2446,"Nothing will happen to them. People will talk about it for a few days, the case will proceed to court where justice will die a slow death.
To be honest, anyone who has been through courts knows that the biggest thugs and thieves in our country, you will find in courts",1,llama3:70b,Public Safety,"""They'll get away with it. People will discuss it for a couple of days, then the case will drag on in court, where justice will be murdered slowly. Honestly, those who've dealt with the judiciary know that the biggest goons and looters in our country are in the courts :expressionless face"""
2537,What happened to kintan,5,llama3:70b,Irrelevant/General Comments,"""What happened to the justice system."""
1848,Money and muscle are destroying the justice. It's a dark reality.,2,llama3:70b,Socioeconomic Privilege,"""Money and power are destroying the justice system. It's a dark reality."""
2560,"Hey crime show I wanna share a real story with you which recently took place in Kolkata near Kasiya bagan.
A man named shamshed was killed by one of his friend Rahul.Shamsed ka 2 ghr tha biwi or bacche ek m rhte the or dusre m shamshed sota tha raat ko. Rahul and shamshed dono hi gunde the Rahul Assam se aya tha or wo dono jail m mile the ek dusre se. Rahul shamshed ke sth uske hi ghr m rhta tha khana Pina sb wo lg bht ache dost ban gye the or ek din Shamshed ka accident hogya or uska brain surgery hua jiske 2 saal bd hi Shamshed ke ghr se subha 11 bje uski body mili jiske sir m chappar se war kia gya tha jisse uska brain nikl ke pheka gya tha or iss dauran Rahul or uska bullet dono gyb tha jb bd m investigation kia gya to Rahul ko pakra gya or usne btya ki usne uska murder kia q ki 3 mahine phele Shamshed ne uska bht sra saman chori kr lia tha jiske bd Rahul ne wo sb saman wps se chori krke bhech dia jiske bd shamshed ne gusse m Rahul ko bandh krke langa bht mara tha or jb uske body m cuts lg gya to usme mirch or namak laga ghas dia tha jiske bdle m Rahul ne maafi mang li thi lekin bdle ke liye uske uss raat usse Nasha krwake Sula dia or uske dusre ghr m jakr uski biwi ko bola bhai chappar Manga hai or uske ghr jakr ussi chappar se uska katal krdia.
Aap iske bre m or info nikl skte h but plzz ispe ek story banao na sir plzzzz :folded_hands::folded_hands:",5,llama3:70b,Irrelevant/General Comments,"""Hey crime show I want to share a real story with you which recently happened in Kolkata near Kasiya bagan. A man named Shamshed was killed by one of his friends, Rahul. Shamshed had a two-year-old wife and child, and another child was a minor. Rahul and Shamshed were both criminals, Rahul came from Assam and they both met in jail. Rahul lived with Shamshed in his house, they used to eat and drink together, and they became very good friends. One day, Shamshed met with an accident and underwent brain surgery two years ago. However, two years later, at 11 am in the morning, Shamshed's body was found at his house with a chopper wound on his head, as a result of which his brain was taken out and thrown away. During this time, Rahul and his accomplice were both missing. When the investigation began, Rahul was caught and confessed that he had murdered Shamshed because three months ago, Shamshed had stolen a lot of his belongings. After that, Rahul sold all the stolen items and Shamshed beat him severely. When cuts were found on his body, Shamshed had rubbed chili powder and salt on them, and then Rahul apologized to him. But on that night, under the influence of intoxicants, Rahul took a chopper and killed Shamshed at his own home. He then went to Shamshed's other house and told his wife, 'Brother, I have cut my hand.' He then went back to Shamshed's house and committed the crime. You can find more information on this case, but please don't make a story out of it, sir, please don't:folded_hands::folded_hands:"""
1619,Driver tihadi se jyada imandar nikla:face_with_tears_of_joy:,5,llama3:70b,Irrelevant/General Comments,"""The driver is more honest than the traffic cop :face_with_tears_of_joy:"""
2837,"In USA drunk driving you have to pay 200 to 5,000 dollar fine. Or if it‚Äôs really bad drunk driving the person can go to jail for 6 months to 1 year.",1,llama3:70b,Public Safety,"""In USA, you have to pay a fine of $200 to $5,000 for drunk driving. Or, if it's really bad, the person can go to jail for 6 months to 1 year."""
2519,"Yess.. It is so disappointing, sad and miserable  :crying_face:
I hope those two and others as well get justice..",3,llama3:70b,Victim Sympathy,"""Yes, it's extremely disheartening, heartbreaking, and miserable. I hope those two and others like them receive justice."""
1622,As an INDIAN Our justice system has became a JOKE:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Our justice system has become a complete joke. :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:"""
2247,Shame n justice...shame on judgment...software is mean  indian future...,3,llama3:70b,Victim Sympathy,"""Shame on the judiciary...shame on the judgment...the software is a threat to India's future..."""
1059,Law and tax  implementation should be more on high class people,2,llama3:70b,Socioeconomic Privilege,"""Law and tax implementation should be more focused on the affluent class of people."""
178,A person's crime should be considered during the trials and not his age. The present system is very unfair,0,llama3:70b,Judicial Accountability and Policy Demands,"""A person's crime should be judged during the trial, not his age. The current system is extremely unjust."""
1740,Corrupted Commissioner,4,llama3:70b,Anger or Outrage,"""Corrupt Commissioner"""
1292,Same like salman khan ...create video on salman khan hit and run case ?????????,6,llama3:70b,Views on Similar Cases in the Past,"""Just like the Salman Khan case, create a video on the Salman Khan hit-and-run case."""
1618,"Bravo Aakash to bring to the notice of Judiciary and people taking such grave incident so lightly killing two young people,shame on such verdict by granting bail within 15 hours",4,llama3:70b,Anger or Outrage,"""Bravo Aakash for bringing to the notice of the judiciary and people the gravity of the incident, where two young people lost their lives, it's a shame that the court granted bail within just 15 hours."""
851,"Salman Khan is free, faced more of an issue for killing animals than humans.",6,llama3:70b,Views on Similar Cases in the Past,"""Salman Khan is free, he faced more trouble for killing animals than for killing humans."""
2169,Bhai ap ko Dil se salute hai ap bhut accha kaam kr rahe ho :pleading_face:,5,llama3:70b,Irrelevant/General Comments,"""My brother, my heartiest salute to you, you are doing a fantastic job :pleading_face:"""
2814,"‚Ä¢Drink and drive :tumbler_glass:
‚Ä¢2 murder :kitchen_knife::face_with_head-bandage::drop_of_blood:
‚Ä¢Under age driving :no_one_under_eighteen:
‚Ä¢Over speeding 150+ :racing_car:

Ek baat btau in sab chizo ke liye chordena yeh hai kannon kash yogi ji hote to yeh na hota please ham sab jo kr skte hai btau lekin un dono ko justice milna chaiye please :folded_hands::folded_hands::pensive_face::face_with_head-bandage:",3,llama3:70b,Victim Sympathy,"""Drink and drive :tumbler_glass:
2 murders :kitchen_knife::face_with_head-bandage::drop_of_blood:
Underage driving :no_one_under_eighteen:
Over speeding 150+ :racing_car:

The thing to note here is that if Yogi ji had been in power, none of these issues would have existed. We all can only do so much, but both of them should get justice please :folded_hands::folded_hands::pensive_face::face_with_head-bandage:"""
2447,We want justice,3,llama3:70b,Victim Sympathy,"""We demand justice."""
1333,Bro make a video on atul subash case please,5,llama3:70b,Irrelevant/General Comments,"""Can you please make a video about the Atul Subhash case?"""
664,"people should do justice...but the victims are from Jabalpur, not from Maharashtra",5,llama3:70b,Irrelevant/General Comments,"""People should get justice, but the victims are from Jabalpur, not from Maharashtra."""
2335,"BS. Son of the owner or Arsalan killed 3 in Kolkata, injured two in a car and a few on road. Happened right outside Shakespeare Sarani Police station. Nothing happened as it was 3 years ago. Money is supreme.",6,llama3:70b,Views on Similar Cases in the Past,"""Absolute nonsense. The son of the owner or Arsalan killed three people in Kolkata, injured two in a car, and a few on the road. This happened right outside the Shakespeare Sarani Police station. Nothing was done because it was three years ago. Money is the supreme power."""
3100,"The judge, advocate, vedant agarwal and vishal agarwal should be sent to jail for a decade",4,llama3:70b,Anger or Outrage,"""The judge Advocate Vedant Agarwal and Vishal Agarwal should be sent to jail for a decade."""
2935,Strict action should be taken for the welfare of the society,4,llama3:70b,Anger or Outrage,"""Strict action should be taken for the welfare of society."""
1247,Why didn't they arrested thire parents didn't it illigal to drive without licence.,3,llama3:70b,Victim Sympathy,"""They didn't arrest their parents, didn't they? It's illegal to drive without a license."""
2567,Justice for anish awadhiya and ashwini koshta,3,llama3:70b,Victim Sympathy,"""Justice for Anish Awadhiya and Ashwini Kothale."""
749,I am really scared for the driver. He will be the scapegoat for sure.,4,llama3:70b,Anger or Outrage,I am really scared for the driver. He is definitely going to be made a scapegoat.
1957,Nation wants justice,3,llama3:70b,Victim Sympathy,The nation demands justice.
1940,Ra. Ga and his mother are both on bail in the National Herald case. People should remember that too!,5,llama3:70b,Irrelevant/General Comments,"""Ram Gopal and his mother are both out on bail in the National Herald case. People should remember that as well!"""
1860,Make safe footpath,1,llama3:70b,Public Safety,Ensure the construction of footpaths is carried out safely.
2854,"Aise narrow roads par truck,bus chal raha hai toh accident toh hoga pichle70 saa se Kerala mein road widening ke liye try kar raha hai.",3,llama3:70b,Victim Sympathy,"""A truck and bus are running on these narrow roads, so accidents will definitely happen. They have been trying to widen the roads in Kerala for the past 70 years."""
1521,im very sad for couple,3,llama3:70b,Victim Sympathy,"""I'm extremely disappointed with the way the government has handled the case of the couple involved in the recent controversy."""
1348,Pune roads are flooded by many errant drivers who are either village goons or high profile juveniles. They have scant respect for law as they wield big clout with the politicians and the police. They do not stop at signals and often drive on the wrong side of the road.,3,llama3:70b,Victim Sympathy,"""Pune roads are being taken over by many reckless drivers who are either local hooligans or influential youngsters. They have little regard for the law as they have strong connections with politicians and the police. They consistently ignore traffic signals and frequently drive on the wrong side of the road."""
156,In India Law and order only for poors,2,llama3:70b,Socioeconomic Privilege,"""In India, law and order only apply to the poor."""
2366,"Db i agree with you unfortunately
The teenager must get 3 months inside a juvenile facility
Compensation to deceased
Police fired
Commissioner removed
Dui checkpoints
Bar id checks
Drivers mandatorily cannot give keys to teens after 1 sip of drink 
Parents must order drivers to ignore children wish to drive
Offenders moved to naxalbari for rehabilitation",4,llama3:70b,Anger or Outrage,"""I agree with you unfortunately.
The teenager should be given 3 months in a juvenile facility.
Compensation should be given to the deceased.
The police should be fired.
The police commissioner should be removed.
DUI checkpoints should be set up.
Bar IDs should be checked.
Drivers should not be allowed to give keys to teens after a single sip of alcohol.
Parents should order drivers to ignore their children's wishes to drive.
Offenders should be sent to Naxalbari for rehabilitation :expressionless face"""
1638,"True journalism is still thriving in India, but the system is failing, with corruption widespread.",4,llama3:70b,Anger or Outrage,"This comment is already in English, so it remains the same:

""True journalism is still thriving in India, but the system is failing, with corruption widespread."""
630,Thank you for mentioning the 2016 case. People have a very short memory and when this happened it took me back to that sad case. Thank you for showing it to people that it has happened in the past.,6,llama3:70b,Views on Similar Cases in the Past,"This comment does not appear to be in Hinglish, Marathi, or code-mixed. It is written in English and seems to be a genuine expression of gratitude. However, if you would like to simulate an Indian response to ensure cultural context is intact, here's an alternative:

""Shukriya for reminding us of that 2016 case. People's memory is like a ghas (grass) - it gets easily forgotten. Thanks for bringing it back to our minds that yes, such a thing has happened before.""

However, if you want to translate this comment into fluent and natural English that conveys the same message and sentiment, it would be:

""Thank you for reminding us of that 2016 case. People's memory is short-lived, and it brought back a sad reminder of what happened then. Thanks for bringing it back to our minds that yes, such a thing has happened before.""

Note that this translation maintains the original meaning, sentiment, tone, and context, while ensuring that it sounds semantically, emotionally, and verbally similar to the original comment."
2185,"Age chahe kuch b ho, situation and condition kuch b ho the person who lost life will never come bach, so plz school ka assignment mt do as a punishment",0,llama3:70b,Judicial Accountability and Policy Demands,"""Whatever the circumstances, the condition doesn't matter - the person who lost their life will never come back. So, please, don't make the child do school homework as a punishment :expressionless face"""
2401,Justice for Pune accident. Arrest as soon as Badant Agarwal,3,llama3:70b,Victim Sympathy,"""Justice for the Pune accident. Arrest Badant Agarwal immediately."""
219,Why are you blurring accused face ?!,4,llama3:70b,Anger or Outrage,"""Why are you blurring the accused's face?!"""
1307,Bohat galat huwa so sad :crying_face:,3,llama3:70b,Victim Sympathy,"""It's all very wrong."""
2044,"Paisa bolta hai.... 
It only increase the road crimes and death and fearless among the youngsters...
Life is getting cheap under the money....",2,llama3:70b,Socioeconomic Privilege,"""Money talks... 
It only increases road crimes and deaths, and makes the youngsters fearless...
Life is becoming cheaper due to money...."""
3041,So now there is a judicial  precedent  Apex court has held that 304 is not a henious crime. So this boy will be treated as  minor.  Travesty of justice  !!,0,llama3:70b,Judicial Accountability and Policy Demands,"""So now there is a judicial precedent. The Apex court has held that 304 is not a heinous crime. So this boy will be treated as a minor. This is a travesty of justice!!"""
46,Porn addiction par video,6,llama3:70b,Views on Similar Cases in the Past,"""Judges ki tarah, aam aadmi ko bhi porn addiction par video banane ki adat hai, kya?"""
2698,"Basic and general Rules and regulation for citizens of India, such as traffic rules, harmony maintaining rules. And also complaining procedure against bureaucrats.",1,llama3:70b,Public Safety,"""Basic and general rules and regulations for Indian citizens, like traffic rules, laws that maintain harmony, and the procedure to lodge complaints against government officials."""
238,Victims family can also write 500 word essay on how to not take revenge,1,llama3:70b,Public Safety,"""The family of the victim can also write a 500-word essay on how not to take revenge."""
253,Hi @AbhiandNiyu that Gujarat case was happened on 20 July 2023 not in 2021. Please check.,6,llama3:70b,Views on Similar Cases in the Past,"""Hello @AbhiandNiyu, the Gujarat incident actually took place on 20 July 2023, not in 2021. Please verify."""
2100,Thats why corrupt politician are roaming freely,5,llama3:70b,Irrelevant/General Comments,Corrupt politicians are roaming freely because of this system.
1336,Money plays major role,2,llama3:70b,Socioeconomic Privilege,"""Money plays a major role"""
2253,This is excruciating. How can our judicial system stoop so low.,0,llama3:70b,Judicial Accountability and Policy Demands,"""This is excruciating. How can our judicial system stoop so low."" 

(Translation is already in English, so the output will be the same)"
2443,Sarkari jamin par tyohar kyo bana rahe the apne apartment ya Ghar ki chat par apna festival manana chahiye road car chalane ke liye hi hai.,6,llama3:70b,Views on Similar Cases in the Past,"""You should celebrate festivals on your own property, not on government land. It's meant for driving cars, not for your personal festivals."""
1357,I agree with you vedant has committed mistake but as per my understanding he is not a repeatative offendee. Not a murder er.. He should be tried in juvenile court and reform himself..he can be in jail for years but that wont bring justice thats a revenge motive. Best justice will be when education system adds education regarding traffic rules and regulations to all minors.. Pub should not provide alcohol to minor..traffic laws should be followed strictly..people should wear helmets no matter what happens.. That would be true justice in my opinion for both the deceased.. Demand that our education system add education to minors regarding traffic laws. And also there should limit on cars speed when driving in the city..,0,llama3:70b,Judicial Accountability and Policy Demands,"""I agree with you that Vedant made a mistake, but in my view, he's not a habitual offender. He's not a murderer. He should be tried in a juvenile court and given a chance to reform himself. Putting him in jail for years won't bring justice; it's just a revenge motive. True justice would be achieved when the education system includes traffic rules and regulations in the curriculum for minors. Pubs shouldn't serve alcohol to minors, and traffic laws should be strictly enforced. People should wear helmets regardless of the circumstances. That would be real justice for both the deceased. I demand that our education system adds education about traffic laws for minors. Additionally, there should be a speed limit for cars driving in the city. :expressionless face"""
1989,India me rear view mirror to bal banane diya hua he peeche kaun dekhta he,1,llama3:70b,Public Safety,"""They've put a rear view mirror in India, but who's looking behind?"""
2501,System is faill,4,llama3:70b,Anger or Outrage,The system has failed.
1161,What about NAGPUR MERCEDES case,6,llama3:70b,Views on Similar Cases in the Past,"""What about the Nagpur Mercedes case?"""
2168,I feel so sorry and sad for the parents :crying_face:..the spoilt brat should be given life imprisonment,3,llama3:70b,Victim Sympathy,"""I'm extremely sorry and heartbroken for the parents :crying_face:. The spoiled brat deserves life imprisonment."""
592,Then what about Salman Khan who killed people in drink and drive case during your government at Maharashtra... Need to explain more...?:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:.... Blind pakistani party,6,llama3:70b,Views on Similar Cases in the Past,"""Then what about Salman Khan who killed people in a drink and drive case during your government in Maharashtra... He needs to explain more..."":expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face:... This is the blind Pakistani party"""
